Date,Price,Open,High,Low,Vol.,Change %
15-Dec-21,36.1374,35.4133,36.6187,33.3389,1.50M,2.04%
14-Dec-21,35.4133,34.2,36.44,33.79,1.78M,3.55%
13-Dec-21,34.2,37.9,38.09,33.61,1.21M,-9.74%
12-Dec-21,37.89,37.91,38.39,36.83,486.68K,-0.05%
11-Dec-21,37.91,36.34,38.27,35.66,1.04M,4.32%
10-Dec-21,36.34,37.5,38.9,36.22,1.42M,-3.09%
9-Dec-21,37.5,40.92,41.32,37.35,1.02M,-8.31%
8-Dec-21,40.9,39.61,41.82,38.91,2.05M,3.26%
7-Dec-21,39.61,39.35,40.43,38.73,1.41M,0.66%
6-Dec-21,39.35,38.79,39.89,35.14,3.15M,1.44%
5-Dec-21,38.79,39.31,40.7,36.91,3.22M,-1.70%
4-Dec-21,39.46,44.87,45,28.52,7.19M,-12.06%
3-Dec-21,44.87,47.03,47.68,43.5,1.24M,-4.59%
2-Dec-21,47.03,47.85,47.85,46.34,860.99K,-1.71%
1-Dec-21,47.85,48.33,49.56,47.08,924.47K,-0.99%
30-Nov-21,48.33,48.22,50.08,46.86,1.31M,0.23%
29-Nov-21,48.22,47.5,48.83,47.06,846.04K,1.52%
28-Nov-21,47.5,46.77,47.53,44.61,871.73K,1.56%
27-Nov-21,46.77,46.53,47.67,46.39,653.72K,0.52%
26-Nov-21,46.53,50.45,50.65,44.7,2.56M,-7.77%
25-Nov-21,50.45,48.25,53.47,47.89,2.35M,4.45%
24-Nov-21,48.3,49.59,49.76,47.22,1.02M,-2.60%
23-Nov-21,49.59,48.6,49.8,47.94,1.05M,2.04%
22-Nov-21,48.6,50.49,50.49,47.76,1.27M,-3.74%
21-Nov-21,50.49,51.02,51.77,49.9,866.08K,-1.04%
20-Nov-21,51.02,50.67,51.33,49.14,906.87K,0.69%
19-Nov-21,50.67,48.54,50.83,47.85,1.22M,4.39%
18-Nov-21,48.54,51.25,51.75,46.82,1.83M,-5.27%
17-Nov-21,51.24,50.82,51.46,49.21,1.22M,0.83%
16-Nov-21,50.82,54.8,54.8,47.56,3.75M,-7.26%
15-Nov-21,54.8,56.13,56.69,54.3,954.89K,-2.37%
14-Nov-21,56.13,56.29,56.87,54.78,771.78K,-0.28%
13-Nov-21,56.29,55.49,56.6,54.83,1.17M,1.44%
12-Nov-21,55.49,56.73,57.64,53.75,1.88M,-2.19%
11-Nov-21,56.73,56.76,58.01,55.35,1.85M,0.11%
10-Nov-21,56.67,60.83,64.24,52.69,6.76M,-6.84%
9-Nov-21,60.83,56.59,64.86,55.8,9.10M,7.49%
8-Nov-21,56.59,53.94,56.59,53.79,1.69M,4.91%
7-Nov-21,53.94,52.88,54.46,52.54,798.01K,2.10%
6-Nov-21,52.83,53.2669,53.3989,50.94,735.18K,-0.83%
5-Nov-21,53.2701,53.5963,53.8844,53.1705,4.17M,-0.61%
4-Nov-21,53.5963,55.6054,56.0176,52.7757,6.90M,-3.61%
3-Nov-21,55.6054,55.1875,56.845,53.4518,8.48M,0.75%
2-Nov-21,55.1896,53.7769,55.587,53.4516,6.96M,2.63%
1-Nov-21,53.7769,54.3034,54.9808,52.4488,7.75M,-0.97%
31-Oct-21,54.3026,52.6755,58.5193,52.4321,10.49M,3.23%
30-Oct-21,52.6024,53.6002,53.7734,51.7927,7.36M,-1.81%
29-Oct-21,53.5719,52.1614,53.8615,51.8943,7.36M,2.70%
28-Oct-21,52.1614,48.7938,52.4942,48.5041,8.37M,6.90%
27-Oct-21,48.7942,54.2125,55.2501,43.1757,11.61M,-9.95%
26-Oct-21,54.1872,55.3978,56.1359,53.6827,12.90M,-2.18%
25-Oct-21,55.3971,54.9525,56.2646,54.7003,13.92M,0.81%
24-Oct-21,54.9525,55.8525,56.026,53.5896,13.16M,-1.62%
23-Oct-21,55.8566,54.5405,56.0653,53.9056,13.13M,2.40%
22-Oct-21,54.5487,55.3445,56.9797,53.6697,13.40M,-1.41%
21-Oct-21,55.3304,55.5611,59.967,55.3298,14.75M,-0.40%
20-Oct-21,55.5516,52.8756,55.7506,52.2932,13.90M,5.06%
19-Oct-21,52.8736,52.4511,53.4377,51.918,12.95M,0.81%
18-Oct-21,52.4511,53.0733,53.7769,51.8436,12.60M,-1.17%
